code,plot,year,harvest_code
210282,2107,2021,1
210283,2108,2021,1
210284,2109,2021,1
210285,2110,2021,1
210286,2111,2021,1
210287,2112,2021,1
210294,2207,2021,1
210295,2208,2021,1
210296,2209,2021,1
210297,2210,2021,1
210298,2211,2021,1
210299,2212,2021,1
210300,2301,2021,1
210301,2302,2021,1
210302,2303,2021,1
210303,2304,2021,1
210304,2305,2021,1
210305,2306,2021,1
210318,2407,2021,1
210319,2408,2021,1
210320,2409,2021,1
210321,2410,2021,1
210322,2411,2021,1
210323,2412,2021,1
210234,1107,2021,2
210235,1108,2021,2
210236,1109,2021,2
210237,1110,2021,2
210238,1111,2021,2
210239,1112,2021,2
210246,1207,2021,2
210247,1208,2021,2
210248,1209,2021,2
210249,1210,2021,2
210250,1211,2021,2
210251,1212,2021,2
210252,1301,2021,2
210253,1302,2021,2
210254,1303,2021,2
210255,1304,2021,2
210256,1305,2021,2
210257,1306,2021,2
210270,1407,2021,2
210271,1408,2021,2
210272,1409,2021,2
210273,1410,2021,2
210274,1411,2021,2
210275,1412,2021,2
210276,2101,2021,3
210277,2102,2021,3
210278,2103,2021,3
210279,2104,2021,3
210280,2105,2021,3
210281,2106,2021,3
210288,2201,2021,3
210289,2202,2021,3
210290,2203,2021,3
210291,2204,2021,3
210292,2205,2021,3
210293,2206,2021,3
210306,2307,2021,3
210307,2308,2021,3
210308,2309,2021,3
210309,2310,2021,3
210310,2311,2021,3
210311,2312,2021,3
210312,2401,2021,3
210313,2402,2021,3
210314,2403,2021,3
210315,2404,2021,3
210316,2405,2021,3
210317,2406,2021,3
210228,1101,2021,4
210229,1102,2021,4
210230,1103,2021,4
210231,1104,2021,4
210232,1105,2021,4
210233,1106,2021,4
210240,1201,2021,4
210241,1202,2021,4
210242,1203,2021,4
210243,1204,2021,4
210244,1205,2021,4
210245,1206,2021,4
210258,1307,2021,4
210259,1308,2021,4
210260,1309,2021,4
210261,1310,2021,4
210262,1311,2021,4
210263,1312,2021,4
